REACTOME_METABOLISM_OF_AMINO_ACIDS,AA metabolism
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION,AA synthesis
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,BC AA Catabolism
REACTOME_BIOLOGICAL_OXIDATIONS,Biological Oxidation
REACTOME_METABOLISM_OF_CARBOHYDRATES,Carbohydrate Metabolism
REACTOME_CHOLESTEROL_BIOSYNTHESIS,Cholesterol synthesis
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,Fatty acid oxidation
REACTOME_GLUCONEOGENESIS,Gluconeogenesis
REACTOME_GLUCOSE_METABOLISM,Glucose metabolism
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,Glycogenolysis
REACTOME_GLYCOLYSIS,Glycolysis
REACTOME_HORMONE_BIOSYNTHESIS,Hormone synthesis
REACTOME_LIPOPROTEIN_METABOLISM,Lipoprotein metabolism
REACTOME_METABOLISM_OF_MRNA,mRNA metabolism
REACTOME_METABOLISM_OF_NITRIC_OXIDE,NO metabolism
REACTOME_PEROXISOMAL_LIPID_METABOLISM,Peroxisomal lipid metabolism
REACTOME_METABOLISM_OF_PROTEINS,Protein metabolism
REACTOME_PURINE_METABOLISM,Purine metabolism
REACTOME_PYRIMIDINE_METABOLISM,Pyrimidine metabolism
REACTOME_PYRUVATE_METABOLISM,Pyruvate metabolism
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS,Ribonucleotide synthesis
REACTOME_METABOLISM_OF_RNA,RNA metabolism
REACTOME_SPHINGOLIPID_METABOLISM,Sphingolipid metabolism
REACTOME_STEROID_METABOLISM,Steroid metabolism
REACTOME_STEROID_HORMONE_BIOSYNTHESIS,Steroid synthesis
REACTOME_CITRIC_ACID_CYCLE,TCA cycle
